Log File;Protocol;Benchmark;Cache Size;Associativity;Block Size;Max Exec;Exec 0;Exec 1;Exec 2;Exec 3;Comp 0;Comp 1;Comp 2;Comp 3;LD 0;ST 0;LD 1;ST 1;LD 2;ST 2;LD 3;ST 3;Idle 0;Idle 1;Idle 2;Idle 3;Miss% 0;Miss% 1;Miss% 2;Miss% 3;Traffic;Invalidations;Updates;Write-backs;Priv% T;Priv% 0;Priv% 1;Priv% 2;Priv% 3;Priv T;Priv 0;Priv 1;Priv 2;Priv 3;Real (s);User (s);Sys (s);CPU (%);Ctx-sw (vol);Ctx-sw (invol);PFault (maj);PFault (min);Swaps
Dragon-blackscholes-4096-2-128.time;Dragon;blackscholes;4096;2;128;19500186;19419557;19785777;19527433;19785777;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;9069872;9036281;9355439;9132529;2.99%;2.98%;3.09%;3.00%;46316120;0;1366;60190;82.54%;82.30%;82.90%;82.65%;82.30%;8253598;2055295;2064631;2073660;2060012;121.01;119.31;1.14;99;321;9;0;302327;0
Dragon-blackscholes-4096-2-16.time;Dragon;blackscholes;4096;2;16;16077234;15984140;16871871;16023769;16871871;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;5646920;5600864;6441533;5628865;1.39%;1.36%;1.70%;1.38%;2936048;0;4884;36409;81.31%;81.01%;81.63%;81.26%;81.36%;8131499;2023205;2032958;2038874;2036462;358.61;356.54;2.04;99;211;7;0;302346;0
Dragon-blackscholes-4096-2-2048.time;Dragon;blackscholes;4096;2;2048;180138277;179577078;179912618;180055687;180138277;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;169707963;169193802;169482280;169660783;20.81%;20.78%;20.77%;20.79%;1127275280;0;196;569209;97.61%;97.61%;97.60%;97.60%;97.62%;9760834;2437575;2430690;2448954;2443615;698.21;696.60;1.43;99;566;8;0;302382;0
Dragon-blackscholes-4096-2-256.time;Dragon;blackscholes;4096;2;256;31019762;30908105;31193071;31057121;31193071;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;20589448;20524829;20762733;20662217;6.15%;6.14%;6.20%;6.15%;175512564;0;573;69800;83.93%;83.89%;83.77%;84.29%;83.75%;8392570;2094972;2086273;2114935;2096390;129.43;128.21;1.08;99;354;8;0;342573;0
Dragon-blackscholes-4096-2-32.time;Dragon;blackscholes;4096;2;32;16008071;15971809;16548517;15994429;16548517;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;5577757;5588533;6118179;5599525;1.43%;1.41%;1.62%;1.43%;5725248;0;3392;31097;81.40%;81.09%;82.00%;81.31%;81.18%;8139616;2025219;2042286;2040152;2031959;206.78;205.77;0.97;99;128;12;0;302391;0
Dragon-blackscholes-4096-2-4.time;Dragon;blackscholes;4096;2;4;16243462;16105431;17589656;16154673;17589656;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;5813148;5722155;7159318;5759769;1.42%;1.35%;1.94%;1.38%;806840;0;7813;41697;81.04%;80.60%;81.15%;81.27%;81.15%;8104240;2012793;2021026;2039074;2031347;1208.03;1205.52;2.39;99;1415;10;0;331474;0
Dragon-blackscholes-4096-2-512.time;Dragon;blackscholes;4096;2;512;58358391;58203054;58529422;58492510;58529422;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;47928077;47819778;48099084;48097606;10.80%;10.80%;10.82%;10.82%;657502084;0;353;203218;88.19%;88.09%;88.26%;88.26%;88.15%;8819125;2200023;2198116;2214498;2206488;171.71;170.39;1.30;99;91;8;0;302323;0
Dragon-blackscholes-4096-2-64.time;Dragon;blackscholes;4096;2;64;17640123;17555807;17981314;17619429;17981314;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;7209809;7172531;7550976;7224525;2.47%;2.46%;2.59%;2.48%;19264008;0;2242;50889;81.80%;81.62%;82.22%;81.83%;81.54%;8180195;2038440;2047620;2053101;2041034;146.96;145.38;1.00;99;193;8;0;332195;0
Dragon-blackscholes-4096-2-8.time;Dragon;blackscholes;4096;2;8;16020644;15865599;17357815;15914104;17357815;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;5590330;5482323;6927477;5519200;1.34%;1.27%;1.86%;1.30%;1502636;0;8027;39468;81.17%;80.81%;81.40%;81.28%;81.20%;8117257;2018016;2027302;2039420;2032519;706.83;700.77;3.19;99;398;7;0;302366;0
Dragon-blackscholes-4096-256-16.time;Dragon;blackscholes;4096;256;16;13735916;13642104;14515040;13673375;14515040;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;3305602;3258828;4084702;3278471;0.35%;0.31%;0.65%;0.33%;879852;0;5955;12294;84.55%;80.01%;95.30%;81.22%;81.74%;8455416;1998208;2373336;2037868;2046004;1738.47;1735.85;2.19;99;2231;8;0;338858;0
Dragon-blackscholes-4096-32-16.time;Dragon;blackscholes;4096;32;16;13739615;13642453;14520208;13675251;14520208;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;3309301;3259177;4089870;3280347;0.35%;0.31%;0.65%;0.33%;882104;0;5998;12288;84.27%;80.01%;93.87%;81.26%;81.99%;8427124;1998231;2337723;2038800;2052370;415.37;413.21;2.13;99;204;8;0;302343;0
Dragon-blackscholes-4096-4-16.time;Dragon;blackscholes;4096;4;16;15360302;15271572;16149071;15312774;16149071;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;4929988;4888296;5718733;4917870;1.11%;1.07%;1.41%;1.10%;2251440;0;6116;21893;81.08%;80.88%;81.32%;81.22%;80.88%;8107626;2019865;2025231;2037906;2024624;290.33;288.36;1.76;99;137;8;0;302343;0
Dragon-blackscholes-4096-64-16.time;Dragon;blackscholes;4096;64;16;13736707;13642123;14516329;13674707;14516329;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;3306393;3258847;4085991;3279803;0.35%;0.31%;0.65%;0.33%;881064;0;5970;12301;84.07%;80.01%;93.35%;81.22%;81.74%;8406783;1998139;2324790;2037758;2046096;616.30;614.76;1.45;99;778;8;0;338523;0
Dragon-blackscholes-4096-8-16.time;Dragon;blackscholes;4096;8;16;14003602;13911372;14794866;13936965;14794866;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;3573288;3528096;4364528;3542061;0.52%;0.48%;0.82%;0.50%;1162080;0;6488;13166;82.32%;80.85%;84.29%;81.23%;82.92%;8232037;2019049;2099252;2038058;2075678;261.71;260.07;1.60;99;163;10;0;311405;0
Dragon-blackscholes-512-2-16.time;Dragon;blackscholes;512;2;16;69632262;69421334;70386838;69790343;70386838;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;59201948;59038058;59956500;59395439;25.24%;25.24%;25.45%;25.26%;58645648;0;240;1135514;87.66%;87.43%;87.38%;89.67%;86.13%;8765597;2183541;2176116;2249944;2155996;387.73;385.73;1.95;99;284;8;0;307750;0
Dragon-blackscholes-65536-2-16.time;Dragon;blackscholes;65536;2;16;13433892;13291486;13726542;13331493;13726542;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;3003578;2908210;3296204;2936589;0.22%;0.20%;0.34%;0.20%;4574544;0;1026056;5335;63.54%;18.60%;63.98%;81.90%;89.52%;6353879;464576;1593354;2055038;2240911;1664.57;1661.97;1.98;99;3744;8;0;341927;0
Dragon-blackscholes-8192-2-16.time;Dragon;blackscholes;8192;2;16;15205188;15097890;15886942;15139419;15886942;10430314;10383276;10430338;10394904;1489888;1007461;1485857;1004611;1492629;1016428;1493736;1009391;4774874;4714614;5456604;4744515;0.96%;0.93%;1.25%;0.94%;1882816;0;8948;13410;81.37%;80.72%;81.12%;81.09%;82.55%;8137120;2015935;2020271;2034510;2066404;649.29;647.85;1.37;99;293;8;0;302425;0
Dragon-bodytrack-1024-2-16.time;Dragon;bodytrack;1024;2;16;53271472;53518172;19190747;53608934;53608934;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;35542218;36397627;1633870;36468821;10.68%;10.89%;14.10%;10.79%;21869940;0;957;283927;93.79%;94.06%;93.94%;83.71%;93.75%;9379303;3075841;3087927;98522;3117013;266.19;264.44;1.73;99;166;8;0;277614;0
Dragon-bodytrack-128-2-16.time;Dragon;bodytrack;128;2;16;103342597;103746993;22591874;105141182;105141182;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;85613343;86626448;5034997;88001069;26.00%;26.17%;43.31%;26.30%;55666492;0;263;843364;97.01%;97.04%;97.16%;95.50%;96.89%;9701286;3173312;3194051;112397;3221526;254.57;253.38;1.12;99;352;12;0;313882;0
Dragon-bodytrack-16384-2-16.time;Dragon;bodytrack;16384;2;16;33213798;33201081;18141257;32849559;33213798;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;15484544;16080536;584380;15709446;5.07%;5.15%;4.48%;5.01%;9848372;0;8905;105964;76.26%;72.53%;78.13%;78.70%;77.99%;7626249;2371935;2568493;92630;2593191;1820.39;1816.22;3.89;99;2061;8;0;306038;0
Dragon-bodytrack-2048-2-16.time;Dragon;bodytrack;2048;2;16;42103233;42577486;18870323;42119300;42577486;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;24373979;25456941;1313446;24979187;7.91%;7.94%;11.06%;7.82%;15486560;0;2828;174403;77.83%;74.79%;80.16%;81.52%;78.39%;7783088;2445666;2635224;95946;2606252;373.63;372.13;1.43;99;207;8;0;277672;0
Dragon-bodytrack-256-2-16.time;Dragon;bodytrack;256;2;16;85523390;85713957;21047945;86646915;86646915;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;67794136;68593412;3491068;69506802;20.96%;21.05%;32.01%;21.17%;45529940;0;645;726578;96.01%;96.00%;96.29%;91.51%;95.90%;9601269;3139425;3165438;107708;3188698;247.09;245.58;1.47;99;245;7;0;298544;0
Dragon-bodytrack-32768-2-16.time;Dragon;bodytrack;32768;2;16;28675640;28343326;18058006;28365770;28675640;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;10946386;11222781;501129;11225657;3.74%;3.78%;3.88%;3.70%;7221876;0;15501;73462;72.06%;70.25%;70.86%;77.56%;74.84%;7205916;2297112;2329184;91283;2488337;3285.77;3282.15;3.39;99;4226;10;0;314719;0
Dragon-bodytrack-4096-1-16.time;Dragon;bodytrack;4096;1;16;40443167;40427858;18712869;40460933;40460933;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;22713913;23307313;1155992;23320820;7.35%;7.56%;10.44%;7.51%;14745628;0;5359;169440;76.08%;74.93%;78.30%;80.46%;74.87%;7608121;2450244;2573880;94699;2489298;622.20;620.77;1.34;99;847;8;0;317076;0
Dragon-bodytrack-4096-128-16.time;Dragon;bodytrack;4096;128;16;37475221;37460761;18545154;37492091;37492091;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;19745967;20340216;988277;20351978;6.14%;6.29%;8.55%;6.12%;11871796;0;5245;119514;79.10%;74.52%;79.02%;80.42%;83.62%;7909543;2436836;2597746;94658;2780303;1633.73;1630.76;2.65;99;1689;7;0;310066;0
Dragon-bodytrack-4096-16-16.time;Dragon;bodytrack;4096;16;16;37532463;37518003;18550256;37549341;37549341;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;19803209;20397458;993379;20409228;6.18%;6.32%;8.57%;6.16%;11940132;0;5213;120197;79.03%;74.61%;78.23%;80.49%;84.11%;7903052;2439947;2571773;94738;2796594;696.06;693.77;2.21;99;399;8;0;295090;0
Dragon-bodytrack-4096-2-1024.time;Dragon;bodytrack;4096;2;1024;92471674;91901600;20489462;93177925;93177925;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;74742420;74781055;2932585;76037812;12.46%;12.08%;14.24%;12.19%;1449161344;0;1952;188337;89.44%;89.88%;89.34%;84.28%;89.27%;8943538;2939140;2936914;99192;2968292;242.23;239.68;2.09;99;175;7;0;277609;0
Dragon-bodytrack-4096-2-128.time;Dragon;bodytrack;4096;2;128;39169186;37670170;18519819;38176895;39169186;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;21439932;20549625;962942;21036782;5.94%;5.73%;7.96%;5.87%;82597996;0;3707;58124;78.93%;84.07%;79.66%;80.95%;73.07%;7892865;2749312;2618593;95282;2429678;128.29;126.91;0.87;99;145;10;0;277610;0
Dragon-bodytrack-4096-2-16.time;Dragon;bodytrack;4096;2;16;38263729;38248900;18610065;38280431;38280431;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;20534475;21128355;1053188;21140318;6.62%;6.65%;9.22%;6.53%;12766792;0;4286;133905;77.39%;74.56%;80.79%;80.40%;76.71%;7738925;2438124;2655721;94628;2550452;608.19;605.98;1.28;99;1556;11;0;277680;0
Dragon-bodytrack-4096-2-2048.time;Dragon;bodytrack;4096;2;2048;255114643;254745608;23984775;255483762;255483762;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;237385389;237625063;6427898;238343649;17.85%;17.58%;20.07%;17.73%;96646612;0;1163;275215;90.34%;90.40%;90.29%;85.98%;90.47%;9033764;2956316;2968057;101198;3008193;768.11;761.64;3.40;99;499;12;0;277609;0
Dragon-bodytrack-4096-2-256.time;Dragon;bodytrack;4096;2;256;44946100;43735436;19160584;44306019;44946100;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;27216846;26614891;1603707;27165906;6.91%;6.68%;11.54%;6.75%;195048708;0;2369;78493;85.17%;83.51%;87.64%;81.72%;84.49%;8517157;2730876;2880818;96177;2809286;142.44;141.23;1.20;99;81;8;0;277608;0
Dragon-bodytrack-4096-2-32.time;Dragon;bodytrack;4096;2;32;36130145;36114959;18377257;35737994;36130145;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;18400891;18994414;820380;18597881;5.63%;5.60%;7.01%;5.56%;20567636;0;3165;81198;81.41%;79.27%;85.07%;80.54%;79.92%;8140998;2592211;2796598;94796;2657393;281.86;280.34;1.37;99;666;7;0;309479;0
Dragon-bodytrack-4096-2-4.time;Dragon;bodytrack;4096;2;4;51528868;52108975;19513232;51559597;52108975;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;33799614;34988430;1956355;34419484;10.87%;10.77%;16.93%;10.79%;5918248;0;4133;387220;77.29%;73.03%;84.86%;80.51%;73.89%;7729395;2388129;2789661;94764;2456841;3818.42;3814.93;3.21;99;5406;8;0;315663;0
Dragon-bodytrack-4096-2-512.time;Dragon;bodytrack;4096;2;512;57396661;56599904;19841973;57780700;57780700;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;39667407;39479359;2285096;40640587;8.60%;8.26%;13.37%;8.48%;502371936;0;3352;130691;81.93%;85.17%;79.78%;82.96%;80.84%;8193176;2785020;2622595;97648;2687913;151.90;150.68;1.20;99;156;7;0;277607;0
Dragon-bodytrack-4096-2-64.time;Dragon;bodytrack;4096;2;64;37085640;35627665;18322776;36077096;37085640;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;19356386;18507120;765899;18936983;5.58%;5.49%;6.49%;5.51%;39415436;0;3971;62095;80.43%;82.86%;78.21%;80.66%;80.22%;8042797;2709750;2570921;94931;2667195;188.73;187.16;1.35;99;111;8;0;277613;0
Dragon-bodytrack-4096-2-8.time;Dragon;bodytrack;4096;2;8;43987842;44483978;19082590;44010582;44483978;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;26258588;27363433;1525713;26870469;8.51%;8.55%;13.15%;8.39%;8764276;0;4065;239948;77.10%;73.77%;82.94%;80.68%;74.47%;7709682;2412370;2726413;94962;2475937;1504.26;1502.41;1.65;99;2167;7;0;318456;0
Dragon-bodytrack-4096-256-16.time;Dragon;bodytrack;4096;256;16;37533703;37519243;18548225;37550573;37550573;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;19804449;20398698;991348;20410460;6.14%;6.29%;8.57%;6.12%;11872348;0;5231;119512;79.31%;74.66%;79.23%;80.46%;83.93%;7931461;2441613;2604406;94695;2790747;2532.65;2529.65;2.49;99;3569;8;0;316619;0
Dragon-bodytrack-4096-32-16.time;Dragon;bodytrack;4096;32;16;37556139;37541679;18547147;37573009;37573009;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;19826885;20421134;990270;20432896;6.16%;6.30%;8.56%;6.14%;11898100;0;5157;119785;79.19%;74.43%;79.37%;80.45%;83.67%;7919487;2433880;2609021;94684;2781902;798.08;794.54;2.11;99;1039;9;0;305277;0
Dragon-bodytrack-4096-4-16.time;Dragon;bodytrack;4096;4;16;37799651;37785075;18567761;37816245;37816245;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;20070397;20664530;1010884;20676132;6.33%;6.46%;8.68%;6.33%;12284124;0;5031;126305;78.23%;74.37%;80.24%;80.56%;79.94%;7822509;2432039;2637656;94823;2657991;604.28;602.61;1.38;99;1025;8;0;281464;0
Dragon-bodytrack-4096-64-16.time;Dragon;bodytrack;4096;64;16;37523671;37509211;18547710;37540541;37540541;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;19794417;20388666;990833;20400428;6.14%;6.29%;8.56%;6.12%;11872084;0;5125;119545;79.26%;74.53%;79.22%;80.48%;83.91%;7926176;2437270;2604270;94727;2789909;1079.23;1076.95;1.73;99;629;8;0;278597;0
Dragon-bodytrack-4096-8-16.time;Dragon;bodytrack;4096;8;16;37556319;37541859;18563899;37572921;37572921;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;19827065;20421314;1007022;20432808;6.22%;6.36%;8.65%;6.21%;12033428;0;5301;121818;78.89%;74.33%;79.77%;80.57%;82.44%;7888670;2430602;2622150;94834;2741084;639.02;634.42;4.53;99;430;8;0;277617;0
Dragon-bodytrack-512-2-16.time;Dragon;bodytrack;512;2;16;66294541;66275280;19712260;67633052;67633052;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;48565287;49154735;2155383;50492939;15.54%;15.79%;20.02%;15.88%;33331320;0;778;504107;86.40%;87.96%;85.44%;87.07%;85.80%;8640366;2876497;2808470;102480;2852919;228.69;227.04;1.33;99;145;9;0;277611;0
Dragon-bodytrack-65536-2-16.time;Dragon;bodytrack;65536;2;16;24779165;24490152;18039142;24508605;24779165;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;7049911;7369607;482265;7368492;2.31%;2.25%;3.80%;2.21%;4469148;0;22751;46225;70.84%;65.65%;70.69%;76.81%;75.87%;7083674;2146804;2323704;90409;2522757;4375.11;4370.77;3.68;99;2677;9;0;324165;0
Dragon-bodytrack-8192-2-16.time;Dragon;bodytrack;8192;2;16;35969913;35956514;18330748;35572903;35969913;17729254;17120545;17556877;17140113;2380720;889412;2388005;899247;74523;43175;2416052;908867;18240659;18835969;773871;18432790;5.82%;5.98%;6.77%;5.84%;11370092;0;6519;120058;76.36%;78.31%;76.55%;79.02%;74.16%;7635708;2560824;2516254;93009;2465621;1031.93;1029.35;2.46;99;1213;7;0;305860;0
Dragon-fluidanimate-1024-2-16.time;Dragon;fluidanimate;1024;2;16;47457275;42661072;49032206;42273835;49032206;11337782;11290799;11337671;11301515;1832392;744111;1821846;585998;1838008;766181;1832174;579291;36119493;31370273;37694535;30972320;13.60%;12.55%;14.07%;12.40%;32084508;0;1823;686551;86.07%;86.05%;85.76%;87.31%;85.08%;8607437;2217142;2065080;2273622;2051593;339.20;337.84;1.32;99;877;8;0;303107;0
Dragon-fluidanimate-128-2-16.time;Dragon;fluidanimate;128;2;16;114441407;97080765;116194048;97455807;116194048;11337782;11290799;11337671;11301515;1832392;744111;1821846;585998;1838008;766181;1832174;579291;103103625;85789966;104856377;86154292;43.05%;38.29%;43.25%;38.52%;86652272;0;112;1329346;90.96%;91.06%;90.52%;91.72%;90.46%;9095845;2346156;2179599;2388631;2181459;303.69;301.31;1.88;99;283;8;0;303043;0
Dragon-fluidanimate-16384-2-16.time;Dragon;fluidanimate;16384;2;16;28431179;26719593;28497289;26697396;28497289;11337782;11290799;11337671;11301515;1832392;744111;1821846;585998;1838008;766181;1832174;579291;17093397;15428794;17159618;15395881;5.84%;5.72%;5.84%;5.76%;15990232;0;43014;409672;84.04%;83.09%;81.92%;83.74%;87.51%;8404379;2140733;1972534;2180814;2110298;2956.09;2952.18;2.83;99;4334;7;0;343527;0
Dragon-fluidanimate-2048-2-16.time;Dragon;fluidanimate;2048;2;16;39997941;36233672;41737414;36058477;41737414;11337782;11290799;11337671;11301515;1832392;744111;1821846;585998;1838008;766181;1832174;579291;28660159;24942873;30399743;24756962;10.51%;9.75%;11.08%;9.65%;26423916;0;4787;623473;85.43%;85.56%;84.60%;86.64%;84.80%;8542843;2204524;2037088;2256379;2044852;512.14;510.30;1.79;99;550;8;0;335450;0
Dragon-fluidanimate-256-2-16.time;Dragon;fluidanimate;256;2;16;79843260;65858145;81581918;65473467;81581918;11337782;11290799;11337671;11301515;1832392;744111;1821846;585998;1838008;766181;1832174;579291;68505478;54567346;70244247;54171952;28.51%;24.01%;28.70%;23.72%;58833024;0;100;1045081;88.14%;88.19%;87.47%;89.72%;87.05%;8813889;2272233;2106067;2336458;2099131;271.22;269.52;1.63;99;262;10;0;332118;0
Dragon-fluidanimate-32768-2-16.time;Dragon;fluidanimate;32768;2;16;26716403;25432534;26678043;25428680;26716403;11337782;11290799;11337671;11301515;1832392;744111;1821846;585998;1838008;766181;1832174;579291;15378621;14141735;15340372;14127165;5.21%;5.12%;5.12%;5.21%;14347144;0;72802;361924;83.54%;81.82%;88.94%;83.11%;80.45%;8354104;2108201;2141599;2164222;1940082;4825.89;4822.26;3.13;99;6043;8;0;344987;0
